country,year,total_deaths,total_affected,reconstruction_costs_('000_us$),"reconstruction_costs,_adjusted_('000_us$)",insured_damages_('000_us$),"insured_damages,_adjusted_('000_us$)",total_damages_('000_us$),"total_damages,_adjusted_('000_us$)",total_occurences,lat,lng
Georgia,54203,76,906302,0,0,0,0,700856,1036006,27,42.315407,43.356892
Germany,172465,9918,578301,0,0,29906300,38250818,97889605,121297225,86,51.165691,10.451526
Germany Fed Rep,1991,5,0,0,0,0,0,56000,111419,1,48.7904472,11.4978895
Ghana,88370,1695,5072086,0,0,0,0,45500,70108,44,7.946527,-1.023194
Greece,138383,550,335760,0,0,8200,9513,11378059,17754585,69,39.074208,21.824312
Grenada,10005,39,61285,0,0,0,0,894500,1284295,5,12.262776,-61.604171
Guadeloupe,16020,9,114054,0,0,125000,163359,475000,621939,8,16.995971,-62.067641
Guam,13994,3,27477,0,0,50000,93788,751000,1339324,7,13.444304,144.793731
Guatemala,200849,4479,17027363,975000,1211597,0,0,3721632,4983593,100,15.783471,-90.230759
Guinea,68262,3669,567028,0,0,0,0,0,0,34,9.945587,-9.696645
Guinea-Bissau,32045,2975,304685,0,0,0,0,0,0,16,11.803749,-15.180413
Guyana,20097,34,1292248,0,0,0,0,677800,939716,10,4.860416,-58.93018
Haiti,202898,241297,16204016,13478063,16268697,200162,248712,12294691,14754117,101,18.971187,-72.285215
Honduras,140451,16037,10939569,0,0,150000,249346,4502379,7419000,70,15.199999,-86.241905
Hong Kong,58055,429,29576,0,0,0,0,1285290,1841131,29,22.396428,114.109497
Hungary,62188,907,406763,0,0,16000,24615,1375400,2149219,31,47.162494,19.503304
Iceland,11996,34,282,0,0,0,0,46289,76565,6,64.963051,-19.020835
India,1001328,137776,1424106542,0,0,5697200,7001386,136238743,170069543,499,20.593684,78.96288
Indonesia,875678,196457,28619529,1600000,1726563,1691041,2155127,33886069,47034368,436,-0.789275,113.921327
Iran (Islamic Republic of),328862,74124,57492357,3000,4880,374000,535116,27477696,44704486,164,32.427908,53.688046
Iraq,50266,228,7201038,0,0,0,0,115300,120445,25,33.223191,43.679291
Ireland,44086,27,6275,0,0,242000,334939,678050,1020710,22,53.41291,-8.24389
Isle of Man,2020,0,0,0,0,0,0,0,0,1,54.236107,-4.548056
Israel,34094,104,2085169,0,0,152500,293889,2082750,2865843,17,31.046051,34.851612
Italy,224885,21439,304389,0,0,3756100,4613571,68198963,97260260,112,41.87194,12.56738
Ivory Coast,56238,842,96551,0,0,0,0,0,0,28,13.5317,-2.4604
Jamaica,52105,102,1426403,0,0,365000,505904,1589757,2226490,26,18.109581,-77.297508
Japan,417501,29130,6508147,0,0,114341700,141754913,533346100,712275366,208,36.204824,138.252924
Jordan,22008,75,348301,0,0,0,0,401000,774140,11,30.585164,36.238414
Kazakhstan,50161,237,906058,0,0,0,0,285570,380199,25,48.019573,66.923684
Kenya,222766,7181,70750225,194000,214459,1000,1180,858338,962182,111,-0.023559,37.906193
Kiribati,8036,0,85805,0,0,0,0,0,0,4,-3.370417,-168.734039
Korea (the Democratic People's Republic of),90358,2702,50940092,0,0,0,0,23767950,40700514,45,40.339852,127.510093
Korea (the Republic of),170482,2170,1273709,0,0,1525000,1937174,17068903,24837384,85,35.907757,127.766922
Kuwait,6017,3,201,0,0,0,0,0,0,3,29.31166,47.481766
Kyrgyzstan,64189,477,2289812,0,0,0,0,217760,404020,32,41.20438,74.766098
Lao People's Democratic Republic (the),88272,1182,6771648,0,0,0,0,785949,1141283,44,19.85627,102.495496
Latvia,18048,92,102,0,0,40000,55501,325500,451755,9,56.879635,24.603189
Lebanon,20106,49,1134291,0,0,0,0,155000,299325,10,33.854721,35.862285
Lesotho,36117,105,3960562,0,0,0,0,0,0,18,-29.609988,28.233608
Liberia,44086,5056,1597335,0,0,0,0,47000,97472,22,6.428055,-9.429499
Libya,6027,20,22030,0,0,0,0,49300,82565,3,26.3351,17.228331
Lithuania,28080,104,780000,0,0,6000,8325,313573,456428,14,55.169438,23.881275
Luxembourg,23981,170,1519,0,0,373000,642536,421000,842397,12,49.815273,6.129583
Macao,14008,10,4187,0,0,0,0,1420000,1569751,7,22.198745,113.543873
Macedonia (the former Yugoslav Republic of),48176,69,1361548,0,0,0,0,409163,629372,24,41.608635,21.745275
Madagascar,160735,4374,15540068,0,0,0,0,1008881,1346764,80,-18.766947,46.869107
Malawi,136506,3188,30828078,0,0,0,0,421789,505594,68,-13.254308,34.301525
Malaysia,182731,1353,3372451,0,0,0,0,3741042,4572660,91,4.210484,101.975766
Maldives,12053,106,57121,0,0,0,0,500100,734089,6,3.202778,73.22068
Mali,86284,1838,12526297,0,0,0,0,0,0,43,17.570692,-3.996166
Marshall Islands (the),16081,6,43888,0,0,0,0,4900,5602,8,7.131474,171.184478
Martinique,20025,26,34418,0,0,125000,163359,504010,725232,10,14.641528,-61.024174
Mauritania,66220,209,8689727,0,0,0,0,2000,2326,33,21.00789,-10.940835
Mauritius,22046,22,44624,0,0,0,0,362400,609847,11,-20.348404,57.552152
Mexico,441357,5390,16607461,0,0,9970000,12506906,49778415,65194849,220,23.634501,-102.552784
Micronesia (Federated States of),20067,72,185862,0,0,0,0,11500,13329,10,7.425554,150.550812
Moldova (the Republic of),32063,89,2908212,0,0,0,0,800184,1231664,16,47.411631,28.369885
Mongolia,72293,319,4720247,0,0,0,0,1976864,3412362,36,46.862496,103.846656
Montenegro,12065,1,12586,0,0,0,0,0,0,6,42.708678,19.37439
Montserrat,11979,32,13200,0,0,0,0,28000,49069,6,16.742498,-62.187366
Morocco,76285,1905,3117475,0,0,0,0,1896059,2834312,38,31.791702,-7.09262
Mozambique,200748,5752,29394313,14000,24186,151500,161344,3010750,3542191,100,-18.665695,35.529562
Myanmar,116598,140183,7186024,0,0,0,0,4844713,6269446,58,21.913965,95.956223
