continent,country,iso,total_deaths,total_affected,total_damages,total_occurrences,gdp_per_capita,total_co2,co2_per_cap,population,country_x,country_y,standardized,gni_per_capita,bins
Europe,Netherlands (the),NLD,4823,565325,5784711,42,53044.53244,151360.0006,8.783850008,17231624,Netherlands,Netherlands,Netherlands,51320,High-Income
Europe,Norway,NOR,16,7860,693000,13,82267.80932,37590.00015,7.076542655,5311916,Norway,Norway,Norway,80320,High-Income
Europe,Poland,POL,2307,383173,8427050,62,15468.48222,311910.0037,8.213615723,37974750,Poland,Poland,Poland,14150,High-Income
Europe,Portugal,PRT,4061,213531,7710736,51,23562.55452,49500,4.813385529,10283822,Portugal,Portugal,Portugal,22060,High-Income
Europe,Romania,ROU,2953,2057777,6189918,91,12398.98198,75190.00244,3.86105157,19473970,Romania,Romania,Romania,11430,Upper-Middle Income
Europe,Russian Federation (the),RUS,61640,4830565,11646996,174,11287.36035,1661000,11.49657125,144477859,Russian Federation,Russian Federation,Russian Federation (the),10250,Upper-Middle Income
Europe,Serbia,SRB,96,224502,2308522,27,7252.401858,46130.00107,6.606418045,6982604,Serbia,Serbia,Serbia,6410,Upper-Middle Income
Europe,Slovakia,SVK,204,59658,785600,23,19389.98216,33000,6.058635474,5446771,Slovak Republic,Slovak Republic,Slovakia,18340,High-Income
Europe,Slovenia,SVN,301,68405,752000,11,26116.85636,14069.99969,6.784338879,2073894,Slovenia,Slovenia,Slovenia,24640,High-Income
Europe,Spain,ESP,17337,6858631,32641297,104,30364.57994,257040.0085,5.492571471,46797754,Spain,Spain,Spain,29310,High-Income
Europe,Sweden,SWE,43,13900,3328800,16,54589.06039,36009.99832,3.538991742,10175214,Sweden,Sweden,Sweden,55690,High-Income
Europe,Switzerland,CHE,1408,9923,8199760,62,86388.40495,37479.99954,4.40199099,8514329,Switzerland,Switzerland,Switzerland,83280,High-Income
Europe,Ukraine,UKR,1505,2911081,3835475,39,3096.561768,185619.9951,4.159783074,44622518,Ukraine,Ukraine,Ukraine,2750,Lower-Middle Income
Europe,United Kingdom of Great Britain and Northern Ireland (the),GBR,8311,768085,37387180,103,43646.95197,360730.011,5.427748177,66460344,United Kingdom,United Kingdom,United Kingdom,42410,High-Income
Oceania,Australia,AUS,2177,16360448,73294234,214,57180.7794,387070.0073,15.49352925,24982688,Australia,Australia,Australia,53070,High-Income
Oceania,Fiji,FJI,449,2551435,1367853,60,6317.413723,1629.999995,1.844955795,883490,Fiji,Fiji,Fiji,5910,Upper-Middle Income
Oceania,Kiribati,KIR,20,86857,0,6,1693.950155,90.00000358,0.776920319,115842,Kiribati,Kiribati,Kiribati,3170,Lower-Middle Income
Oceania,Marshall Islands (the),MHL,6,43888,4900,8,3793.550983,180.0000072,3.081558706,58412,Marshall Islands,Marshall Islands,Marshall Islands,4840,Upper-Middle Income
Oceania,Micronesia (Federated States of),FSM,77,186065,17500,11,3568.291016,170.0000018,1.50923297,112640,"Micronesia, Fed. Sts.","Micronesia, Fed. Sts.",Micronesia (Federated States of),3400,Lower-Middle Income
Oceania,New Zealand,NZL,436,664912,31117035,74,43250.44097,32360.00061,6.603273193,4900600,New Zealand,New Zealand,New Zealand,41650,High-Income
Oceania,Palau,PLW,0,22862,0,5,15895.2599,250,13.95790296,17911,Palau,Palau,Palau,17380,High-Income
Oceania,Papua New Guinea,PNG,9916,4812196,353003,89,2801.371393,7559.999943,0.878423813,8606324,Papua New Guinea,Papua New Guinea,Papua New Guinea,2600,Lower-Middle Income
Oceania,Samoa,WSM,534,403908,816128,16,4187.504787,289.9999917,1.478626161,196128,Samoa,Samoa,Samoa,4050,Upper-Middle Income
Oceania,Solomon Islands,SLB,755,596453,50000,37,2411.897904,360.0000143,0.551423307,652856,Solomon Islands,Solomon Islands,Solomon Islands,2360,Lower-Middle Income
Oceania,Tonga,TON,28,398688,350900,24,4740.700272,159.9999964,1.550402586,103199,Tonga,Tonga,Tonga,4800,Upper-Middle Income
Oceania,Tuvalu,TUV,6,21867,0,9,4156.305128,9.999999776,0.86918729,11505,Tuvalu,Tuvalu,Tuvalu,5820,Upper-Middle Income
Oceania,Vanuatu,VUT,254,687539,656650,50,3125.436014,209.9999934,0.71751941,292675,Vanuatu,Vanuatu,Vanuatu,3170,Lower-Middle Income
