country,iso,disaster_type,year,total_deaths,total_affected,total_damages,total_occurrences
Bolivia (Plurinational State of),BOL,Flood,110082,1343,4655108,1672118,55
Bolivia (Plurinational State of),BOL,Landslide,18040,334,182053,600000,9
Bolivia (Plurinational State of),BOL,Storm,4010,20,18740,0,2
Bolivia (Plurinational State of),BOL,Volcanic activity,2019,0,3000,0,1
Bolivia (Plurinational State of),BOL,Wildfire,12055,8,171600,0,6
Bosnia and Herzegovina,BIH,Drought,4003,0,62575,298000,2
Bosnia and Herzegovina,BIH,Earthquake,2022,1,1052,0,1
Bosnia and Herzegovina,BIH,Epidemic,2000,0,400,0,1
Bosnia and Herzegovina,BIH,Extreme temperature,8038,7,20347,0,4
Bosnia and Herzegovina,BIH,Flood,34202,30,1595099,523580,17
Bosnia and Herzegovina,BIH,Landslide,2000,6,403,0,1
Bosnia and Herzegovina,BIH,Storm,4004,4,1090,0,2
Botswana,BWA,Drought,13908,0,1382900,47000,7
Botswana,BWA,Epidemic,6002,655,36897,0,3
Botswana,BWA,Flood,22036,43,178584,5050,11
Botswana,BWA,Insect infestation,1986,0,0,0,1
Botswana,BWA,Storm,2009,0,400,0,1
Brazil,BRA,Drought,39935,20,78812000,17183100,20
Brazil,BRA,Earthquake,3993,2,23286,5000,2
Brazil,BRA,Epidemic,35945,2632,1983463,0,18
Brazil,BRA,Extreme temperature,15914,355,600,1075000,8
Brazil,BRA,Flood,323906,8329,22057155,11330254,162
Brazil,BRA,Insect infestation,1991,0,2000,0,1
Brazil,BRA,Landslide,49756,1745,4238614,231027,25
Brazil,BRA,Storm,35888,266,238112,612000,18
Brazil,BRA,Wildfire,8014,1,10014195,36000,4
Brunei Darussalam,BRN,Wildfire,1998,0,0,2000,1
Bulgaria,BGR,Drought,3983,0,0,0,2
Bulgaria,BGR,Earthquake,9971,24,3962,0,5
Bulgaria,BGR,Extreme temperature,18052,76,393,50,9
Bulgaria,BGR,Flood,42189,82,60642,855200,21
Bulgaria,BGR,Landslide,1965,11,0,0,1
Bulgaria,BGR,Storm,11993,3,5890,545000,6
Bulgaria,BGR,Wildfire,10036,10,676,20054,5
Burkina Faso,BFA,Drought,23908,0,15313290,0,12
Burkina Faso,BFA,Epidemic,49904,17119,207368,0,25
Burkina Faso,BFA,Flood,46126,185,780409,181176,23
Burkina Faso,BFA,Insect infestation,5977,0,0,0,3
Burundi,BDI,Drought,12034,126,3062500,0,6
Burundi,BDI,Earthquake,2004,3,120,0,1
Burundi,BDI,Epidemic,29998,789,1378259,0,15
Burundi,BDI,Flood,60290,223,234270,15000,30
Burundi,BDI,Landslide,6051,54,13622,0,3
Burundi,BDI,Storm,14054,23,54365,0,7
Cabo Verde,CPV,Drought,13980,0,156093,0,7
Cabo Verde,CPV,Epidemic,4003,251,32491,0,2
Cabo Verde,CPV,Flood,4029,4,25150,0,2
Cabo Verde,CPV,Insect infestation,3992,0,0,0,2
Cabo Verde,CPV,Storm,5981,41,7722,4100,3
Cabo Verde,CPV,Volcanic activity,4009,0,8806,0,2
Cambodia,KHM,Drought,12005,0,9050000,138000,6
Cambodia,KHM,Epidemic,17993,788,417938,0,9
Cambodia,KHM,Flood,48185,1653,13751629,1421100,24
Cambodia,KHM,Storm,14091,89,944252,100010,7
Cameroon,CMR,Drought,9979,0,598900,1500,5
Cameroon,CMR,Epidemic,50036,4129,54724,0,25
Cameroon,CMR,Flood,34106,131,414668,2000,17
Cameroon,CMR,Insect infestation,3985,0,0,1700,2
Cameroon,CMR,Landslide,6044,79,350,0,3
Cameroon,CMR,Volcanic activity,5969,1783,13447,0,3
Canada,CAN,Drought,7910,0,30000,4810000,4
Canada,CAN,Epidemic,11941,562,8917,0,6
Canada,CAN,Extreme temperature,12040,895,200,2200000,6
Canada,CAN,Flood,90119,55,360723,12907900,45
Canada,CAN,Landslide,1965,26,22,0,1
Canada,CAN,Mass movement (dry),3926,34,3506,0,2
Canada,CAN,Storm,91771,268,74119,7684700,46
Canada,CAN,Wildfire,46010,5,209127,10535412,23
Canary Is,SPI,Extreme temperature,2004,13,113,0,1
Canary Is,SPI,Flood,4003,23,730,79923,2
Canary Is,SPI,Storm,5961,45,0,790000,3
Canary Is,SPI,Volcanic activity,2021,1,6888,1000000,1
Canary Is,SPI,Wildfire,2007,0,405,0,1
Cayman Islands (the),CYM,Storm,14029,2,300,3496580,7
Central African Republic,CAF,Drought,1983,0,0,0,1
Central African Republic,CAF,Epidemic,26074,981,9875,0,13
Central African Republic,CAF,Flood,38109,29,237027,0,19
Central African Republic,CAF,Storm,20080,8,37096,125,10
Central African Republic,CAF,Wildfire,6019,1,30835,0,3
Chad,TCD,Drought,19966,3000,11842800,83000,10
Chad,TCD,Epidemic,46082,7108,86312,0,23
Chad,TCD,Flood,44147,358,2186079,11000,22
Chad,TCD,Insect infestation,9952,0,0,0,5
Chad,TCD,Landslide,2019,52,37,0,1
Chad,TCD,Storm,5972,38,1445,157,3
Chile,CHL,Drought,3959,0,120000,255000,2
Chile,CHL,Earthquake,39762,7317,9863580,34085870,20
Chile,CHL,Epidemic,1991,1,40,0,1
Chile,CHL,Extreme temperature,16042,8,60625,1020000,8
Chile,CHL,Flood,72031,1245,1658277,2297600,36
Chile,CHL,Landslide,9939,251,82983,6000,5
Chile,CHL,Storm,29855,273,505000,184300,15
Chile,CHL,Volcanic activity,15985,10,86650,615000,8
Chile,CHL,Wildfire,26085,42,22469,1464000,13
China,CHN,Drought,78030,3534,516100000,38592420,39
China,CHN,Earthquake,336330,371343,77799112,113995357,168
China,CHN,Epidemic,15981,1498,9829,0,8
China,CHN,Extreme temperature,28050,384,81220002,23030200,14
China,CHN,Flood,610935,2105048,2106746629,312430368,305
China,CHN,Insect infestation,2001,0,0,0,1
China,CHN,Landslide,148339,5346,2507864,2752700,74
China,CHN,Mass movement (dry),13978,500,5475,8000,7
China,CHN,Storm,633058,18322,499099841,122550568,316
China,CHN,Wildfire,16014,314,57816,110000,8
Colombia,COL,Drought,4013,0,100000,0,2
