country,iso,disaster_type,year,total_deaths,total_affected,total_damages,total_occurrences
Iran (Islamic Republic of),IRN,Storm,29982,364,209516,28540,15
Iran (Islamic Republic of),IRN,Wildfire,2002,0,0,0,1
Iraq,IRQ,Drought,5988,0,7500000,2000,3
Iraq,IRQ,Earthquake,4008,30,6469,0,2
Iraq,IRQ,Epidemic,14012,38,8041,0,7
Iraq,IRQ,Flood,34072,160,591579,173300,17
Iraq,IRQ,Storm,2022,1,5000,0,1
Ireland,IRL,Epidemic,4002,2,1375,0,2
Ireland,IRL,Flood,12019,5,4700,363000,6
Ireland,IRL,Storm,34021,41,200,315050,17
Isle of Man,IMN,Storm,2020,0,0,0,1
Israel,ISR,Drought,1999,0,0,75000,1
Israel,ISR,Epidemic,2000,12,139,0,1
Israel,ISR,Extreme temperature,3992,0,0,550000,2
Israel,ISR,Flood,10043,36,1000,620000,5
Israel,ISR,Landslide,1970,20,13,0,1
Israel,ISR,Storm,8019,12,2003610,2750,4
Israel,ISR,Wildfire,10024,44,80420,835000,5
Italy,ITA,Drought,10050,0,0,4290000,5
Italy,ITA,Earthquake,71653,6642,956797,54852352,36
Italy,ITA,Epidemic,4004,3,10001,0,2
Italy,ITA,Extreme temperature,22110,20173,0,4532601,11
Italy,ITA,Flood,103962,1107,2882699,25541600,52
Italy,ITA,Glacial lake outburst,2022,12,0,0,1
Italy,ITA,Landslide,27821,2466,19779,1359210,14
Italy,ITA,Storm,60017,240,11015,5878400,30
Italy,ITA,Volcanic activity,7989,9,7352,118100,4
Italy,ITA,Wildfire,15993,21,11920,1759000,8
Jamaica,JAM,Drought,7963,0,191545,6500,4
Jamaica,JAM,Epidemic,5973,3,580,0,3
Jamaica,JAM,Flood,17911,141,901712,168440,9
Jamaica,JAM,Storm,47943,298,1611585,2661182,24
Japan,JPN,Drought,1977,0,0,0,1
Japan,JPN,Earthquake,103785,26155,1654458,399616400,52
Japan,JPN,Epidemic,5952,1,2000534,0,3
Japan,JPN,Extreme temperature,34231,1075,214514,0,17
Japan,JPN,Flood,111455,8223,9425031,30474300,56
Japan,JPN,Landslide,43718,910,26673,498000,22
Japan,JPN,Storm,352575,16325,6129970,110167800,177
Japan,JPN,Volcanic activity,19888,139,100048,32000,10
Japan,JPN,Wildfire,2002,0,222,0,1
Jordan,JOR,Drought,3999,0,330000,0,2
Jordan,JOR,Epidemic,1981,4,715,0,1
Jordan,JOR,Extreme temperature,3992,15,12,400000,2
Jordan,JOR,Flood,15905,345,24385,3400,8
Jordan,JOR,Insect infestation,1989,0,0,0,1
Jordan,JOR,Storm,5993,16,225,0,3
Kazakhstan,KAZ,Drought,2021,0,71000,0,1
Kazakhstan,KAZ,Earthquake,2003,3,36626,0,1
Kazakhstan,KAZ,Epidemic,5997,7,873,0,3
Kazakhstan,KAZ,Extreme temperature,6010,3,605012,0,3
Kazakhstan,KAZ,Flood,28134,64,184547,282570,14
Kazakhstan,KAZ,Landslide,2004,48,0,0,1
Kazakhstan,KAZ,Storm,1995,112,0,3000,1
Kazakhstan,KAZ,Wildfire,1997,0,8000,0,1
Kenya,KEN,Drought,33986,196,58800000,251500,17
Kenya,KEN,Earthquake,3994,1,0,100000,2
Kenya,KEN,Epidemic,74164,4958,8245975,0,37
Kenya,KEN,Flood,116321,2048,4808104,518388,58
Kenya,KEN,Insect infestation,2019,0,0,0,1
Kenya,KEN,Landslide,10046,153,146,0,5
Kenya,KEN,Storm,1988,50,0,0,1
Kiribati,KIR,Drought,1999,0,84000,0,1
Kiribati,KIR,Epidemic,1977,17,352,0,1
Kiribati,KIR,Flood,4022,0,305,0,2
Kiribati,KIR,Storm,3987,3,2200,0,2
Korea (the Democratic People's Republic of),PRK,Drought,8063,0,31100000,0,4
Korea (the Democratic People's Republic of),PRK,Epidemic,6019,4,129774,0,3
Korea (the Democratic People's Republic of),PRK,Extreme temperature,2018,0,13768,0,1
Korea (the Democratic People's Republic of),PRK,Flood,58163,2778,13686931,17628800,29
Korea (the Democratic People's Republic of),PRK,Storm,20069,235,6029690,6139150,10
Korea (the Republic of),KOR,Drought,3968,0,2800000,0,2
Korea (the Republic of),KOR,Earthquake,4033,0,34889,21000,2
Korea (the Republic of),KOR,Epidemic,9984,179,41607,0,5
Korea (the Republic of),KOR,Extreme temperature,8046,48,355,127000,4
Korea (the Republic of),KOR,Flood,79652,4108,3288381,3382879,40
Korea (the Republic of),KOR,Landslide,17848,405,7714,248700,9
Korea (the Republic of),KOR,Storm,121766,3297,810914,14749678,61
Korea (the Republic of),KOR,Wildfire,10050,3,9265,0,5
Kuwait,KWT,Epidemic,2002,0,1,0,1
Kuwait,KWT,Flood,4015,3,200,0,2
Kyrgyzstan,KGZ,Drought,2009,0,2000000,0,1
Kyrgyzstan,KGZ,Earthquake,18046,132,176063,175000,9
Kyrgyzstan,KGZ,Epidemic,6005,22,935,0,3
Kyrgyzstan,KGZ,Extreme temperature,6034,27,13900,0,3
Kyrgyzstan,KGZ,Flood,8022,4,21623,5260,4
Kyrgyzstan,KGZ,Landslide,20053,288,68216,37500,10
Kyrgyzstan,KGZ,Storm,4020,4,9075,0,2
Lao People's Democratic Republic (the),LAO,Drought,11961,0,4250000,1000,6
Lao People's Democratic Republic (the),LAO,Earthquake,2021,0,0,120,1
Lao People's Democratic Republic (the),LAO,Epidemic,17970,863,55929,0,9
Lao People's Democratic Republic (the),LAO,Flood,57967,669,5087211,170658,29
Lao People's Democratic Republic (the),LAO,Storm,22094,74,2268108,630951,11
Latvia,LVA,Epidemic,2000,0,102,0,1
Latvia,LVA,Extreme temperature,8021,86,0,0,4
Latvia,LVA,Storm,6009,6,0,325500,3
Latvia,LVA,Wildfire,2018,0,0,0,1
Lebanon,LBN,Earthquake,1956,136,200,0,1
Lebanon,LBN,Flood,5945,440,18500,10000,3
Lebanon,LBN,Mass movement (dry),1983,20,0,0,1
Lebanon,LBN,Storm,14076,48,1117276,155000,7
Lebanon,LBN,Wildfire,4027,1,15,0,2
Lesotho,LSO,Drought,18016,0,4644015,1000,9
Lesotho,LSO,Epidemic,5973,56,4196,0,3
Lesotho,LSO,Flood,9984,66,185000,0,5
Lesotho,LSO,Storm,14030,1,11851,0,7
Liberia,LBR,Drought,1980,0,0,0,1
Liberia,LBR,Epidemic,26017,5508,39881,0,13
Liberia,LBR,Extreme temperature,1990,0,1000000,47000,1
Liberia,LBR,Flood,12048,14,53841,0,6
Liberia,LBR,Insect infestation,2009,0,500000,0,1
Liberia,LBR,Mass movement (dry),1982,46,200,0,1
Liberia,LBR,Storm,4002,0,5500,0,2
Libya,LBY,Earthquake,1963,300,5375,5000,1
Libya,LBY,Flood,6027,20,22030,49300,3
Lithuania,LTU,Drought,6016,0,0,278473,3
Lithuania,LTU,Extreme temperature,12052,92,0,0,6
Lithuania,LTU,Flood,4015,4,0,0,2
Lithuania,LTU,Storm,5997,8,780000,35100,3
Luxembourg,LUX,Extreme temperature,2003,170,0,0,1
Luxembourg,LUX,Flood,5997,0,0,10000,3
Luxembourg,LUX,Storm,17964,0,1519,411000,9
Macao,MAC,Epidemic,2002,0,1,0,1
Macao,MAC,Storm,12006,10,4186,1420000,6
Macedonia (the former Yugoslav Republic of),MKD,Drought,1993,0,10000,0,1
Macedonia (the former Yugoslav Republic of),MKD,Earthquake,2016,0,100,10000,1
Macedonia (the former Yugoslav Republic of),MKD,Epidemic,2002,0,200,0,1
Macedonia (the former Yugoslav Republic of),MKD,Extreme temperature,12055,34,16322,0,6
Macedonia (the former Yugoslav Republic of),MKD,Flood,22077,32,254923,385600,11
Macedonia (the former Yugoslav Republic of),MKD,Storm,2005,1,3,0,1
Macedonia (the former Yugoslav Republic of),MKD,Wildfire,6028,2,1080000,13563,3
Madagascar,MDG,Drought,20051,200,7615290,0,10
Madagascar,MDG,Epidemic,16065,1992,142884,0,8
Madagascar,MDG,Flood,22101,162,358570,150000,11
Madagascar,MDG,Insect infestation,4007,0,2300000,3500,2
Madagascar,MDG,Storm,132156,3048,10747999,2208301,66
Malawi,MWI,Drought,16010,500,28278702,0,8
Malawi,MWI,Earthquake,6007,13,70836,28000,3
Malawi,MWI,Epidemic,32058,1687,64153,0,16
Malawi,MWI,Flood,84166,948,3850722,422489,42
Malawi,MWI,Landslide,2019,8,109,0,1
Malawi,MWI,Storm,12097,89,172867,0,6
Malaysia,MYS,Drought,4012,0,2205000,0,2
Malaysia,MYS,Earthquake,4019,104,5073,500002,2
Malaysia,MYS,Epidemic,25926,540,32047,0,13
Malaysia,MYS,Flood,136531,436,1867299,2961140,68
Malaysia,MYS,Landslide,8004,96,291,0,4
Malaysia,MYS,Mass movement (dry),1993,72,0,0,1
Malaysia,MYS,Storm,15988,296,58372,53000,8
Malaysia,MYS,Wildfire,7995,0,3000,302000,4
Maldives,MDV,Earthquake,2004,102,27214,470100,1
Maldives,MDV,Epidemic,3989,223,12547,0,2
Maldives,MDV,Flood,6013,0,3749,6000,3
Maldives,MDV,Storm,4012,0,25169,30000,2
Mali,MLI,Drought,19966,0,13727000,0,10
Mali,MLI,Epidemic,37888,3925,28196,0,19
Mali,MLI,Flood,52169,157,308958,0,26
Mali,MLI,Insect infestation,9950,0,0,0,5
Marshall Islands (the),MHL,Drought,6050,0,36710,4900,3
Marshall Islands (the),MHL,Epidemic,2000,6,218,0,1
Marshall Islands (the),MHL,Flood,4022,0,960,0,2
Marshall Islands (the),MHL,Storm,4009,0,6000,0,2
Martinique,MTQ,Earthquake,2007,1,100,0,1
Martinique,MTQ,Epidemic,2010,13,29200,0,1
Martinique,MTQ,Storm,29816,82,31121,693010,15
Mauritania,MRT,Drought,25935,0,12821354,59500,13
Mauritania,MRT,Epidemic,11956,185,3694,0,6
Mauritania,MRT,Flood,40112,79,265827,2000,20
Mauritania,MRT,Insect infestation,7964,0,0,0,4
Mauritania,MRT,Storm,6007,23,2517,0,3
Mauritius,MUS,Drought,1999,0,0,175000,1
Mauritius,MUS,Epidemic,3985,0,2661,0,2
Mauritius,MUS,Flood,2013,11,82,2000,1
Mauritius,MUS,Storm,35797,71,1059402,626373,18
Mexico,MEX,Drought,13969,0,2565000,1610000,7
Mexico,MEX,Earthquake,75711,11056,4164812,14743400,38
Mexico,MEX,Epidemic,5995,68,53212,0,3
Mexico,MEX,Extreme temperature,33904,1188,136000,582600,17
Mexico,MEX,Flood,157953,4431,4998860,4634400,79
Mexico,MEX,Landslide,23951,332,320,0,12
Mexico,MEX,Storm,244126,5643,8633456,33520815,122
Mexico,MEX,Volcanic activity,15966,120,158908,117000,8
Mexico,MEX,Wildfire,8001,50,0,91200,4
Micronesia (Federated States of),FSM,Drought,4014,0,128800,0,2
Micronesia (Federated States of),FSM,Epidemic,2000,19,3431,0,1
Micronesia (Federated States of),FSM,Flood,2008,0,0,0,1
Micronesia (Federated States of),FSM,Storm,14032,58,53834,17500,7
Moldova (the Republic of),MDA,Drought,6019,2,216194,406000,3
Moldova (the Republic of),MDA,Epidemic,1999,0,1647,0,1
Moldova (the Republic of),MDA,Extreme temperature,6036,23,12834,0,3
Moldova (the Republic of),MDA,Flood,14015,61,51957,362584,7
Moldova (the Republic of),MDA,Storm,3994,3,2625580,31600,2
Mongolia,MNG,Drought,2000,0,450000,0,1
Mongolia,MNG,Earthquake,1957,1200,0,0,1
Mongolia,MNG,Epidemic,6006,8,3268,0,3
Mongolia,MNG,Extreme temperature,10077,5,2157113,62000,5
Mongolia,MNG,Flood,26090,166,333181,27064,13
Mongolia,MNG,Landslide,2017,17,0,0,1
Mongolia,MNG,Storm,26065,155,2041624,90000,13
Mongolia,MNG,Wildfire,5972,25,5061,1822800,3
Montenegro,MNE,Extreme temperature,2012,1,4500,0,1
Montenegro,MNE,Flood,8036,0,7886,0,4
Montenegro,MNE,Wildfire,2017,0,200,0,1
Montserrat,MSR,Storm,5974,11,12040,260000,3
Montserrat,MSR,Volcanic activity,7994,32,13200,8000,4
Morocco,MAR,Drought,9903,0,412000,900100,5
Morocco,MAR,Earthquake,5933,12639,38465,520000,3
Morocco,MAR,Epidemic,1966,200,2942,0,1
Morocco,MAR,Extreme temperature,12080,0,2477500,809,6
Morocco,MAR,Flood,69776,1716,640069,330200,35
Morocco,MAR,Insect infestation,7967,0,0,0,4
Morocco,MAR,Landslide,4001,16,12216,0,2
Morocco,MAR,Mass movement (dry),1988,31,0,0,1
Morocco,MAR,Storm,8029,64,117000,300050,4
Mozambique,MOZ,Drought,30027,100068,24657500,50000,15
Mozambique,MOZ,Earthquake,2006,4,1476,0,1
Mozambique,MOZ,Epidemic,58060,3081,377358,0,29
Mozambique,MOZ,Flood,84118,2392,10069929,972700,42
Mozambique,MOZ,Insect infestation,1988,0,0,0,1
Mozambique,MOZ,Landslide,4016,104,2800,0,2
Mozambique,MOZ,Storm,60089,1477,7770157,2362050,30
Mozambique,MOZ,Wildfire,2008,49,3023,0,1
Myanmar,MMR,Earthquake,12029,187,39775,514770,6
Myanmar,MMR,Epidemic,7969,74,800,0,4
Myanmar,MMR,Flood,72143,902,5572467,257655,36
Myanmar,MMR,Landslide,20140,407,149181,0,10
Myanmar,MMR,Mass movement (dry),2018,17,0,0,1
Myanmar,MMR,Storm,33851,140392,3953320,4083988,17
Myanmar,MMR,Wildfire,3960,8,78588,11000,2
Namibia,NAM,Drought,18013,0,2699200,175000,9
Namibia,NAM,Epidemic,14023,291,13174,0,7
Namibia,NAM,Flood,32151,264,1103353,20490,16
Nepal,NPL,Drought,11897,0,4903000,10000,6
Nepal,NPL,Earthquake,13968,9865,6372100,5480000,7
Nepal,NPL,Epidemic,41923,4568,374797,0,21
Nepal,NPL,Extreme temperature,14066,267,25200,123,7
Nepal,NPL,Flood,112120,8098,5723753,1320232,56
Nepal,NPL,Landslide,49971,1894,450630,15000,25
Nepal,NPL,Mass movement (dry),1963,150,0,0,1
Nepal,NPL,Storm,14016,229,15757,0,7
Nepal,NPL,Wildfire,6007,99,54000,6200,3
Netherlands (the),NLD,Earthquake,1992,0,20,0,1
Netherlands (the),NLD,Epidemic,1999,13,200,0,1
Netherlands (the),NLD,Extreme temperature,16088,2766,0,100000,8
Netherlands (the),NLD,Flood,9957,2001,315000,910600,5
Netherlands (the),NLD,Storm,53975,43,250105,4774111,27
Netherlands Antilles,ANT,Storm,7898,13,40000,1050000,4
New Caledonia,NCL,Epidemic,2003,0,437,0,1
New Caledonia,NCL,Storm,27691,13,3100,43900,14
New Zealand,NZL,Drought,4005,0,0,923000,2
New Zealand,NZL,Earthquake,15992,188,623076,28662669,8
New Zealand,NZL,Epidemic,2002,0,1,0,1
New Zealand,NZL,Extreme temperature,2001,0,0,200000,1
New Zealand,NZL,Flood,81847,11,35197,1175300,41
New Zealand,NZL,Landslide,1979,0,600,2466,1
New Zealand,NZL,Storm,30033,66,5620,143600,15
New Zealand,NZL,Volcanic activity,5967,171,93,0,3
New Zealand,NZL,Wildfire,4007,0,325,10000,2
Nicaragua,NIC,Drought,12024,0,1313000,18000,6
Nicaragua,NIC,Earthquake,15885,10688,748175,875000,8
Nicaragua,NIC,Epidemic,25960,122,115855,7,13
Nicaragua,NIC,Flood,46015,515,710532,2050,23
Nicaragua,NIC,Landslide,2004,29,5769,0,1
Nicaragua,NIC,Storm,50075,3959,2691889,2676180,25
Nicaragua,NIC,Volcanic activity,9956,1,321370,2722,5
Nicaragua,NIC,Wildfire,5992,0,16000,80000,3
Niger (the),NER,Animal accident,2014,12,5,0,1
Niger (the),NER,Drought,26021,0,35442486,0,13
Niger (the),NER,Epidemic,88109,10232,279796,0,44
Niger (the),NER,Flood,66300,860,3413759,282039,33
Niger (the),NER,Insect infestation,7965,0,0,0,4
Niger (the),NER,Storm,2002,4,1253,0,1
Nigeria,NGA,Drought,1981,0,3000000,71103,1
Nigeria,NGA,Epidemic,134202,30112,530970,0,67
Nigeria,NGA,Extreme temperature,3994,78,0,0,2
Nigeria,NGA,Flood,114433,2108,12634935,1021422,57
Nigeria,NGA,Insect infestation,3990,0,0,0,2
Nigeria,NGA,Landslide,5988,32,1800,0,3
Nigeria,NGA,Storm,14038,261,18512,1000,7
Niue,NIU,Epidemic,1999,1,297,0,1
Niue,NIU,Storm,9881,1,6502,41541,5
Northern Mariana Islands (the),MNP,Storm,8039,5,860,0,4
Northern Mariana Islands (the),MNP,Volcanic activity,2003,0,0,0,1
Norway,NOR,Flood,5996,1,6100,300000,3
Norway,NOR,Landslide,4039,11,1160,130000,2
Norway,NOR,Storm,16011,4,600,263000,8
Oman,OMN,Flood,8072,14,300,0,4
Oman,OMN,Storm,26061,302,32969,5252000,13
Pakistan,PAK,Drought,4018,220,6880912,247000,2
Pakistan,PAK,Earthquake,63950,79925,7474537,5348755,32
Pakistan,PAK,Epidemic,26040,403,75540,0,13
Pakistan,PAK,Extreme temperature,37968,2954,80574,18000,19
Pakistan,PAK,Flood,222267,20021,113958128,22591178,111
Pakistan,PAK,Insect infestation,4013,0,0,0,2
Pakistan,PAK,Landslide,46006,805,34154,18000,23
Pakistan,PAK,Mass movement (dry),4003,63,0,0,2
Pakistan,PAK,Storm,58030,12186,3594966,1715036,29
Pakistan,PAK,Wildfire,2022,4,4004,0,1
Palau,PLW,Drought,2015,0,14200,0,1
Palau,PLW,Epidemic,2018,0,124,0,1
Palau,PLW,Storm,6046,0,8538,0,3
"Palestine, State of",PSE,Epidemic,1983,0,943,0,1
"Palestine, State of",PSE,Extreme temperature,4042,7,33500,0,2
"Palestine, State of",PSE,Flood,8043,5,14500,0,4
"Palestine, State of",PSE,Storm,6043,5,81121,0,3
Panama,PAN,Drought,8029,0,81000,272000,4
Panama,PAN,Earthquake,7988,32,21511,0,4
Panama,PAN,Epidemic,9944,101,5554,0,5
Panama,PAN,Flood,80029,219,255713,44200,40
Panama,PAN,Storm,16015,143,45800,81350,8
Panama,PAN,Wildfire,2006,0,1436,0,1
Papua New Guinea,PNG,Drought,5992,84,3060000,60000,3
Papua New Guinea,PNG,Earthquake,37948,5457,596878,96875,19
Papua New Guinea,PNG,Epidemic,14030,448,11001,0,7
Papua New Guinea,PNG,Flood,40136,86,645043,84628,20
Papua New Guinea,PNG,Landslide,28037,527,16203,0,14
Papua New Guinea,PNG,Mass movement (dry),3996,86,1000,0,2
Papua New Guinea,PNG,Storm,14009,219,231225,1500,7
Papua New Guinea,PNG,Volcanic activity,31903,3009,242846,110000,16
Papua New Guinea,PNG,Wildfire,1997,0,8000,0,1
Paraguay,PRY,Drought,18008,16,1791290,0,9
Paraguay,PRY,Epidemic,18079,97,244326,0,9
Paraguay,PRY,Extreme temperature,6014,20,0,0,3
Paraguay,PRY,Flood,56030,199,2012117,96557,28
Paraguay,PRY,Storm,16067,40,148057,27000,8
Paraguay,PRY,Wildfire,4026,8,129000,30000,2
Peru,PER,Drought,15912,0,3606104,296000,8
Peru,PER,Earthquake,95577,68525,6296314,1512750,48
Peru,PER,Epidemic,27965,10739,383304,0,14
Peru,PER,Extreme temperature,24072,2020,5392620,94000,12
Peru,PER,Flood,140184,2267,6230140,3318000,70
Peru,PER,Insect infestation,2000,0,0,0,1
Peru,PER,Landslide,67762,3574,793832,1013500,34
Peru,PER,Mass movement (dry),3947,2000,0,200000,2
Peru,PER,Storm,7972,653,667412,12000,4
Peru,PER,Volcanic activity,10050,2,38040,0,5
Peru,PER,Wildfire,4016,0,1000,0,2
Philippines (the),PHL,Drought,19959,8,6750894,148852,10
Philippines (the),PHL,Earthquake,73966,9747,7077808,667146,37
Philippines (the),PHL,Epidemic,44015,2627,358395,0,22
Philippines (the),PHL,Flood,314278,3676,33902345,3836363,157
Philippines (the),PHL,Insect infestation,1995,0,200,0,1
Philippines (the),PHL,Landslide,61948,2451,317557,33281,31
Philippines (the),PHL,Mass movement (dry),5965,361,0,0,3
Philippines (the),PHL,Storm,730353,47792,200186371,24708758,366
Philippines (the),PHL,Volcanic activity,57823,1662,2650959,301525,29
Philippines (the),PHL,Wildfire,1998,2,300,0,1
Poland,POL,Drought,2018,0,0,0,1
Poland,POL,Earthquake,1982,0,1050,0,1
Poland,POL,Extreme temperature,38152,2085,0,0,19
Poland,POL,Flood,32023,115,368967,7933000,16
Poland,POL,Storm,46215,72,13156,494050,23
Poland,POL,Wildfire,3975,35,0,0,2
Portugal,PRT,Drought,8006,0,0,1443136,4
Portugal,PRT,Earthquake,1969,2,80,0,1
Portugal,PRT,Extreme temperature,12050,3199,0,0,6
Portugal,PRT,Flood,27926,597,53534,1493100,14
Portugal,PRT,Storm,22060,53,4379,410500,11
Portugal,PRT,Wildfire,30027,210,155538,4364000,15
Puerto Rico,PRI,Drought,1994,0,0,2000,1
Puerto Rico,PRI,Earthquake,4040,4,5228,950000,2
Puerto Rico,PRI,Flood,15987,583,12885,346000,8
Puerto Rico,PRI,Landslide,3966,126,0,0,2
Puerto Rico,PRI,Storm,41999,120,917686,71359800,21
Qatar,QAT,Flood,2018,0,1500,10000,1
Romania,ROU,Drought,3983,0,0,500000,2
Romania,ROU,Earthquake,7949,1650,392850,2000000,4
Romania,ROU,Epidemic,5997,0,5271,0,3
Romania,ROU,Extreme temperature,38094,531,10259,0,19
Romania,ROU,Flood,104238,719,1640474,3682618,52
Romania,ROU,Landslide,1999,0,330,0,1
Romania,ROU,Storm,20026,53,8593,7300,10
Russian Federation (the),RUS,Drought,10016,0,1000000,2540000,5
Russian Federation (the),RUS,Earthquake,20015,2019,60190,551520,10
Russian Federation (the),RUS,Epidemic,19992,33,158246,0,10
Russian Federation (the),RUS,Extreme temperature,42034,57914,759198,1400100,21
Russian Federation (the),RUS,Flood,140411,775,2405594,4392570,70
Russian Federation (the),RUS,Impact,2013,0,301491,33000,1
Russian Federation (the),RUS,Insect infestation,2001,0,0,0,1
Russian Federation (the),RUS,Landslide,19997,480,5561,2600,10
Russian Federation (the),RUS,Storm,44058,234,21789,301050,22
Russian Federation (the),RUS,Wildfire,48106,185,118496,2426156,24
Rwanda,RWA,Drought,11947,237,4156545,0,6
Rwanda,RWA,Earthquake,4010,81,2286,0,2
Rwanda,RWA,Epidemic,23950,322,7399,0,12
Rwanda,RWA,Flood,52302,470,2048363,44009,26
Rwanda,RWA,Landslide,10060,113,37979,28000,5
Rwanda,RWA,Storm,4034,3,6553,0,2
Rwanda,RWA,Volcanic activity,2021,0,13365,0,1
Réunion,REU,Epidemic,2005,0,157000,0,1
Réunion,REU,Landslide,1980,10,0,0,1
Réunion,REU,Storm,21996,64,21529,254000,11
Réunion,REU,Volcanic activity,1977,0,1000,0,1
Saint Barthélemy,BLM,Storm,2017,4,0,0,1
"Saint Helena, Ascension and Tristan da Cunha",SHN,Storm,2001,0,300,0,1
Saint Kitts and Nevis,KNA,Flood,1987,0,0,500,1
Saint Kitts and Nevis,KNA,Storm,17935,6,14780,704400,9
Saint Lucia,LCA,Drought,2010,0,0,0,1
Saint Lucia,LCA,Earthquake,2007,0,0,0,1
Saint Lucia,LCA,Epidemic,2020,3,1318,0,1
Saint Lucia,LCA,Flood,4023,6,21984,0,2
Saint Lucia,LCA,Landslide,1996,0,175,0,1
Saint Lucia,LCA,Storm,29865,39,289950,173245,15
Saint Martin (French Part),MAF,Storm,2017,12,110,4100000,1
Saint Vincent and the Grenadines,VCT,Drought,2010,0,0,0,1
Saint Vincent and the Grenadines,VCT,Epidemic,2020,8,1760,0,1
Saint Vincent and the Grenadines,VCT,Flood,13982,15,44049,119500,7
Saint Vincent and the Grenadines,VCT,Storm,21946,129,28571,67100,11
Saint Vincent and the Grenadines,VCT,Volcanic activity,5971,2,35300,325000,3
Samoa,WSM,Drought,2015,0,0,0,1
Samoa,WSM,Earthquake,2009,148,5584,124040,1
Samoa,WSM,Epidemic,2019,83,5617,0,1
Samoa,WSM,Flood,2001,0,0,1500,1
Samoa,WSM,Storm,21890,303,391707,658938,11
Samoa,WSM,Wildfire,1983,0,1000,31650,1
Sao Tome and Principe,STP,Drought,1983,0,93000,0,1
Sao Tome and Principe,STP,Epidemic,5980,206,2412,0,3
Sao Tome and Principe,STP,Flood,2021,8,219668,0,1
Saudi Arabia,SAU,Epidemic,6001,168,571,0,3
Saudi Arabia,SAU,Flood,48205,476,34067,1652000,24
Saudi Arabia,SAU,Storm,3998,3,122,50000,2
Senegal,SEN,Drought,17915,0,9358702,374800,9
Senegal,SEN,Epidemic,23939,1268,36178,0,12
Senegal,SEN,Flood,48052,102,1256835,72435,24
Senegal,SEN,Insect infestation,9953,0,0,0,5
Senegal,SEN,Storm,6002,189,96853,0,3
Serbia,SRB,Earthquake,2010,2,27030,132260,1
Serbia,SRB,Extreme temperature,18103,36,91734,0,9
Serbia,SRB,Flood,34238,58,105738,2176262,17
Serbia Montenegro,SCG,Earthquake,2002,1,100,0,1
Serbia Montenegro,SCG,Epidemic,4000,0,869,0,2
Serbia Montenegro,SCG,Extreme temperature,4005,6,70,0,2
Serbia Montenegro,SCG,Flood,18009,14,125398,0,9
Serbia Montenegro,SCG,Storm,2005,0,8750,0,1
Serbia Montenegro,SCG,Wildfire,2000,0,12,0,1
Seychelles,SYC,Earthquake,2004,3,4830,30000,1
Seychelles,SYC,Epidemic,4021,0,5714,0,2
Seychelles,SYC,Flood,4011,5,5672,1700,2
Seychelles,SYC,Storm,4015,0,9800,9300,2
Sierra Leone,SLE,Epidemic,32005,5359,50580,0,16
Sierra Leone,SLE,Flood,22117,191,256688,0,11
Sierra Leone,SLE,Landslide,4027,1118,11921,30000,2
Sierra Leone,SLE,Storm,5958,74,10003,3600,3
Sierra Leone,SLE,Wildfire,2013,0,2257,0,1
Singapore,SGP,Epidemic,8016,36,15289,0,4
Sint Maarten (Dutch part),SXM,Storm,2017,4,5040,2500000,1
Slovakia,SVK,Extreme temperature,10037,128,89,150000,5
Slovakia,SVK,Flood,28092,67,49245,252300,14
Slovakia,SVK,Storm,6040,3,10324,383300,3
Slovakia,SVK,Wildfire,2000,6,0,0,1
Slovenia,SVN,Earthquake,4002,1,1305,10000,2
Slovenia,SVN,Extreme temperature,4017,290,50000,80000,2
Slovenia,SVN,Flood,8052,3,16050,270000,4
Slovenia,SVN,Storm,6034,7,1050,392000,3
Solomon Islands,SLB,Drought,6010,0,380,0,3
Solomon Islands,SLB,Earthquake,13986,297,18110,2000,7
Solomon Islands,SLB,Epidemic,4029,8,7912,0,2
Solomon Islands,SLB,Flood,10058,70,90080,26000,5
Solomon Islands,SLB,Storm,37871,380,473971,22000,19
Solomon Islands,SLB,Volcanic activity,1971,0,6000,0,1
Somalia,SOM,Drought,33950,39673,29019124,993000,17
Somalia,SOM,Earthquake,2004,298,105083,100000,1
Somalia,SOM,Epidemic,57985,6828,126427,0,29
Somalia,SOM,Flood,94208,2950,6288114,80020,47
Somalia,SOM,Insect infestation,2019,0,0,0,1
Somalia,SOM,Storm,14094,260,524380,2000,7
South Africa,ZAF,Drought,23960,0,32925000,2585000,12
South Africa,ZAF,Earthquake,9975,37,3112,44000,5
South Africa,ZAF,Epidemic,14020,336,112385,0,7
South Africa,ZAF,Extreme temperature,6019,63,20,0,3
South Africa,ZAF,Flood,98194,1926,710093,5275029,49
South Africa,ZAF,Landslide,1996,34,0,0,1
South Africa,ZAF,Storm,64087,319,663718,1367041,32
South Africa,ZAF,Wildfire,20024,137,12880,860000,10
South Sudan,SSD,Drought,6046,0,7918000,0,3
South Sudan,SSD,Epidemic,14107,286,13070,0,7
South Sudan,SSD,Flood,28189,173,3954591,0,14
South Sudan,SSD,Wildfire,2019,50,12,0,1
Soviet Union,SUN,Earthquake,37704,25595,2307297,16849800,19
Soviet Union,SUN,Flood,33765,148,114794,3395900,17
Soviet Union,SUN,Landslide,11890,325,2500,423000,6
Soviet Union,SUN,Mass movement (dry),5967,102,8506,0,3
Soviet Union,SUN,Storm,7939,441,10000,24000,4
Soviet Union,SUN,Volcanic activity,1956,0,0,0,1
