country,disaster_type,year,total_deaths,total_affected,total_damages,total_occurrences
Korea (the Republic of),Wildfire,10050,3,9265,0,5
Kuwait,Epidemic,2002,0,1,0,1
Kuwait,Flood,4015,3,200,0,2
Kyrgyzstan,Drought,2009,0,2000000,0,1
Kyrgyzstan,Earthquake,18046,132,176063,175000,9
Kyrgyzstan,Epidemic,6005,22,935,0,3
Kyrgyzstan,Extreme temperature,6034,27,13900,0,3
Kyrgyzstan,Flood,8022,4,21623,5260,4
Kyrgyzstan,Landslide,20053,288,68216,37500,10
Kyrgyzstan,Storm,4020,4,9075,0,2
Lao People's Democratic Republic (the),Drought,11961,0,4250000,1000,6
Lao People's Democratic Republic (the),Earthquake,2021,0,0,120,1
Lao People's Democratic Republic (the),Epidemic,17970,863,55929,0,9
Lao People's Democratic Republic (the),Flood,57967,669,5087211,170658,29
Lao People's Democratic Republic (the),Storm,22094,74,2268108,630951,11
Latvia,Epidemic,2000,0,102,0,1
Latvia,Extreme temperature,8021,86,0,0,4
Latvia,Storm,6009,6,0,325500,3
Latvia,Wildfire,2018,0,0,0,1
Lebanon,Earthquake,1956,136,200,0,1
Lebanon,Flood,5945,440,18500,10000,3
Lebanon,Mass movement (dry),1983,20,0,0,1
Lebanon,Storm,14076,48,1117276,155000,7
Lebanon,Wildfire,4027,1,15,0,2
Lesotho,Drought,18016,0,4644015,1000,9
Lesotho,Epidemic,5973,56,4196,0,3
Lesotho,Flood,9984,66,185000,0,5
Lesotho,Storm,14030,1,11851,0,7
Liberia,Drought,1980,0,0,0,1
Liberia,Epidemic,26017,5508,39881,0,13
Liberia,Extreme temperature,1990,0,1000000,47000,1
Liberia,Flood,12048,14,53841,0,6
Liberia,Insect infestation,2009,0,500000,0,1
Liberia,Mass movement (dry),1982,46,200,0,1
Liberia,Storm,4002,0,5500,0,2
Libya,Earthquake,1963,300,5375,5000,1
Libya,Flood,6027,20,22030,49300,3
Lithuania,Drought,6016,0,0,278473,3
Lithuania,Extreme temperature,12052,92,0,0,6
Lithuania,Flood,4015,4,0,0,2
Lithuania,Storm,5997,8,780000,35100,3
Luxembourg,Extreme temperature,2003,170,0,0,1
Luxembourg,Flood,5997,0,0,10000,3
Luxembourg,Storm,17964,0,1519,411000,9
Macao,Epidemic,2002,0,1,0,1
Macao,Storm,12006,10,4186,1420000,6
Macedonia (the former Yugoslav Republic of),Drought,1993,0,10000,0,1
Macedonia (the former Yugoslav Republic of),Earthquake,2016,0,100,10000,1
Macedonia (the former Yugoslav Republic of),Epidemic,2002,0,200,0,1
Macedonia (the former Yugoslav Republic of),Extreme temperature,12055,34,16322,0,6
Macedonia (the former Yugoslav Republic of),Flood,22077,32,254923,385600,11
Macedonia (the former Yugoslav Republic of),Storm,2005,1,3,0,1
Macedonia (the former Yugoslav Republic of),Wildfire,6028,2,1080000,13563,3
Madagascar,Drought,20051,200,7615290,0,10
Madagascar,Epidemic,16065,1992,142884,0,8
Madagascar,Flood,22101,162,358570,150000,11
Madagascar,Insect infestation,4007,0,2300000,3500,2
Madagascar,Storm,132156,3048,10747999,2208301,66
Malawi,Drought,16010,500,28278702,0,8
Malawi,Earthquake,6007,13,70836,28000,3
Malawi,Epidemic,32058,1687,64153,0,16
Malawi,Flood,84166,948,3850722,422489,42
Malawi,Landslide,2019,8,109,0,1
Malawi,Storm,12097,89,172867,0,6
Malaysia,Drought,4012,0,2205000,0,2
Malaysia,Earthquake,4019,104,5073,500002,2
Malaysia,Epidemic,25926,540,32047,0,13
Malaysia,Flood,136531,436,1867299,2961140,68
Malaysia,Landslide,8004,96,291,0,4
Malaysia,Mass movement (dry),1993,72,0,0,1
Malaysia,Storm,15988,296,58372,53000,8
Malaysia,Wildfire,7995,0,3000,302000,4
Maldives,Earthquake,2004,102,27214,470100,1
Maldives,Epidemic,3989,223,12547,0,2
Maldives,Flood,6013,0,3749,6000,3
Maldives,Storm,4012,0,25169,30000,2
Mali,Drought,19966,0,13727000,0,10
Mali,Epidemic,37888,3925,28196,0,19
Mali,Flood,52169,157,308958,0,26
Mali,Insect infestation,9950,0,0,0,5
Marshall Islands (the),Drought,6050,0,36710,4900,3
Marshall Islands (the),Epidemic,2000,6,218,0,1
Marshall Islands (the),Flood,4022,0,960,0,2
Marshall Islands (the),Storm,4009,0,6000,0,2
Martinique,Earthquake,2007,1,100,0,1
Martinique,Epidemic,2010,13,29200,0,1
Martinique,Storm,29816,82,31121,693010,15
Mauritania,Drought,25935,0,12821354,59500,13
Mauritania,Epidemic,11956,185,3694,0,6
Mauritania,Flood,40112,79,265827,2000,20
Mauritania,Insect infestation,7964,0,0,0,4
Mauritania,Storm,6007,23,2517,0,3
Mauritius,Drought,1999,0,0,175000,1
Mauritius,Epidemic,3985,0,2661,0,2
Mauritius,Flood,2013,11,82,2000,1
Mauritius,Storm,35797,71,1059402,626373,18
Mexico,Drought,13969,0,2565000,1610000,7
Mexico,Earthquake,75711,11056,4164812,14743400,38
Mexico,Epidemic,5995,68,53212,0,3
Mexico,Extreme temperature,33904,1188,136000,582600,17
Mexico,Flood,157953,4431,4998860,4634400,79
Mexico,Landslide,23951,332,320,0,12
Mexico,Storm,244126,5643,8633456,33520815,122
Mexico,Volcanic activity,15966,120,158908,117000,8
Mexico,Wildfire,8001,50,0,91200,4
Micronesia (Federated States of),Drought,4014,0,128800,0,2
Micronesia (Federated States of),Epidemic,2000,19,3431,0,1
Micronesia (Federated States of),Flood,2008,0,0,0,1
Micronesia (Federated States of),Storm,14032,58,53834,17500,7
Moldova (the Republic of),Drought,6019,2,216194,406000,3
Moldova (the Republic of),Epidemic,1999,0,1647,0,1
Moldova (the Republic of),Extreme temperature,6036,23,12834,0,3
Moldova (the Republic of),Flood,14015,61,51957,362584,7
Moldova (the Republic of),Storm,3994,3,2625580,31600,2
Mongolia,Drought,2000,0,450000,0,1
Mongolia,Earthquake,1957,1200,0,0,1
Mongolia,Epidemic,6006,8,3268,0,3
Mongolia,Extreme temperature,10077,5,2157113,62000,5
Mongolia,Flood,26090,166,333181,27064,13
Mongolia,Landslide,2017,17,0,0,1
Mongolia,Storm,26065,155,2041624,90000,13
Mongolia,Wildfire,5972,25,5061,1822800,3
Montenegro,Extreme temperature,2012,1,4500,0,1
Montenegro,Flood,8036,0,7886,0,4
Montenegro,Wildfire,2017,0,200,0,1
Montserrat,Storm,5974,11,12040,260000,3
Montserrat,Volcanic activity,7994,32,13200,8000,4
Morocco,Drought,9903,0,412000,900100,5
Morocco,Earthquake,5933,12639,38465,520000,3
Morocco,Epidemic,1966,200,2942,0,1
Morocco,Extreme temperature,12080,0,2477500,809,6
Morocco,Flood,69776,1716,640069,330200,35
Morocco,Insect infestation,7967,0,0,0,4
Morocco,Landslide,4001,16,12216,0,2
Morocco,Mass movement (dry),1988,31,0,0,1
Morocco,Storm,8029,64,117000,300050,4
Mozambique,Drought,30027,100068,24657500,50000,15
Mozambique,Earthquake,2006,4,1476,0,1
Mozambique,Epidemic,58060,3081,377358,0,29
Mozambique,Flood,84118,2392,10069929,972700,42
Mozambique,Insect infestation,1988,0,0,0,1
Mozambique,Landslide,4016,104,2800,0,2
Mozambique,Storm,60089,1477,7770157,2362050,30
Mozambique,Wildfire,2008,49,3023,0,1
Myanmar,Earthquake,12029,187,39775,514770,6
Myanmar,Epidemic,7969,74,800,0,4
Myanmar,Flood,72143,902,5572467,257655,36
Myanmar,Landslide,20140,407,149181,0,10
Myanmar,Mass movement (dry),2018,17,0,0,1
Myanmar,Storm,33851,140392,3953320,4083988,17
Myanmar,Wildfire,3960,8,78588,11000,2
Namibia,Drought,18013,0,2699200,175000,9
Namibia,Epidemic,14023,291,13174,0,7
Namibia,Flood,32151,264,1103353,20490,16
Nepal,Drought,11897,0,4903000,10000,6
Nepal,Earthquake,13968,9865,6372100,5480000,7
Nepal,Epidemic,41923,4568,374797,0,21
Nepal,Extreme temperature,14066,267,25200,123,7
Nepal,Flood,112120,8098,5723753,1320232,56
Nepal,Landslide,49971,1894,450630,15000,25
Nepal,Mass movement (dry),1963,150,0,0,1
Nepal,Storm,14016,229,15757,0,7
Nepal,Wildfire,6007,99,54000,6200,3
Netherlands (the),Earthquake,1992,0,20,0,1
Netherlands (the),Epidemic,1999,13,200,0,1
Netherlands (the),Extreme temperature,16088,2766,0,100000,8
Netherlands (the),Flood,9957,2001,315000,910600,5
Netherlands (the),Storm,53975,43,250105,4774111,27
Netherlands Antilles,Storm,7898,13,40000,1050000,4
New Caledonia,Epidemic,2003,0,437,0,1
New Caledonia,Storm,27691,13,3100,43900,14
New Zealand,Drought,4005,0,0,923000,2
New Zealand,Earthquake,15992,188,623076,28662669,8
New Zealand,Epidemic,2002,0,1,0,1
New Zealand,Extreme temperature,2001,0,0,200000,1
New Zealand,Flood,81847,11,35197,1175300,41
New Zealand,Landslide,1979,0,600,2466,1
New Zealand,Storm,30033,66,5620,143600,15
New Zealand,Volcanic activity,5967,171,93,0,3
New Zealand,Wildfire,4007,0,325,10000,2
Nicaragua,Drought,12024,0,1313000,18000,6
Nicaragua,Earthquake,15885,10688,748175,875000,8
Nicaragua,Epidemic,25960,122,115855,7,13
Nicaragua,Flood,46015,515,710532,2050,23
Nicaragua,Landslide,2004,29,5769,0,1
Nicaragua,Storm,50075,3959,2691889,2676180,25
Nicaragua,Volcanic activity,9956,1,321370,2722,5
Nicaragua,Wildfire,5992,0,16000,80000,3
Niger (the),Animal accident,2014,12,5,0,1
Niger (the),Drought,26021,0,35442486,0,13
Niger (the),Epidemic,88109,10232,279796,0,44
Niger (the),Flood,66300,860,3413759,282039,33
Niger (the),Insect infestation,7965,0,0,0,4
Niger (the),Storm,2002,4,1253,0,1
Nigeria,Drought,1981,0,3000000,71103,1
Nigeria,Epidemic,134202,30112,530970,0,67
Nigeria,Extreme temperature,3994,78,0,0,2
Nigeria,Flood,114433,2108,12634935,1021422,57
Nigeria,Insect infestation,3990,0,0,0,2
Nigeria,Landslide,5988,32,1800,0,3
Nigeria,Storm,14038,261,18512,1000,7
Niue,Epidemic,1999,1,297,0,1
Niue,Storm,9881,1,6502,41541,5
Northern Mariana Islands (the),Storm,8039,5,860,0,4
Northern Mariana Islands (the),Volcanic activity,2003,0,0,0,1
Norway,Flood,5996,1,6100,300000,3
Norway,Landslide,4039,11,1160,130000,2
Norway,Storm,16011,4,600,263000,8
Oman,Flood,8072,14,300,0,4
Oman,Storm,26061,302,32969,5252000,13
Pakistan,Drought,4018,220,6880912,247000,2
Pakistan,Earthquake,63950,79925,7474537,5348755,32
Pakistan,Epidemic,26040,403,75540,0,13
Pakistan,Extreme temperature,37968,2954,80574,18000,19
Pakistan,Flood,222267,20021,113958128,22591178,111
Pakistan,Insect infestation,4013,0,0,0,2
Pakistan,Landslide,46006,805,34154,18000,23
Pakistan,Mass movement (dry),4003,63,0,0,2
Pakistan,Storm,58030,12186,3594966,1715036,29
Pakistan,Wildfire,2022,4,4004,0,1
Palau,Drought,2015,0,14200,0,1
Palau,Epidemic,2018,0,124,0,1
Palau,Storm,6046,0,8538,0,3
"Palestine, State of",Epidemic,1983,0,943,0,1
"Palestine, State of",Extreme temperature,4042,7,33500,0,2
"Palestine, State of",Flood,8043,5,14500,0,4
"Palestine, State of",Storm,6043,5,81121,0,3
Panama,Drought,8029,0,81000,272000,4
Panama,Earthquake,7988,32,21511,0,4
Panama,Epidemic,9944,101,5554,0,5
Panama,Flood,80029,219,255713,44200,40
Panama,Storm,16015,143,45800,81350,8
Panama,Wildfire,2006,0,1436,0,1
Papua New Guinea,Drought,5992,84,3060000,60000,3
Papua New Guinea,Earthquake,37948,5457,596878,96875,19
Papua New Guinea,Epidemic,14030,448,11001,0,7
Papua New Guinea,Flood,40136,86,645043,84628,20
Papua New Guinea,Landslide,28037,527,16203,0,14
Papua New Guinea,Mass movement (dry),3996,86,1000,0,2
Papua New Guinea,Storm,14009,219,231225,1500,7
Papua New Guinea,Volcanic activity,31903,3009,242846,110000,16
Papua New Guinea,Wildfire,1997,0,8000,0,1
Paraguay,Drought,18008,16,1791290,0,9
Paraguay,Epidemic,18079,97,244326,0,9
Paraguay,Extreme temperature,6014,20,0,0,3
Paraguay,Flood,56030,199,2012117,96557,28
Paraguay,Storm,16067,40,148057,27000,8
Paraguay,Wildfire,4026,8,129000,30000,2
Peru,Drought,15912,0,3606104,296000,8
Peru,Earthquake,95577,68525,6296314,1512750,48
Peru,Epidemic,27965,10739,383304,0,14
Peru,Extreme temperature,24072,2020,5392620,94000,12
Peru,Flood,140184,2267,6230140,3318000,70
Peru,Insect infestation,2000,0,0,0,1
Peru,Landslide,67762,3574,793832,1013500,34
Peru,Mass movement (dry),3947,2000,0,200000,2
Peru,Storm,7972,653,667412,12000,4
Peru,Volcanic activity,10050,2,38040,0,5
Peru,Wildfire,4016,0,1000,0,2
Philippines (the),Drought,19959,8,6750894,148852,10
Philippines (the),Earthquake,73966,9747,7077808,667146,37
Philippines (the),Epidemic,44015,2627,358395,0,22
Philippines (the),Flood,314278,3676,33902345,3836363,157
Philippines (the),Insect infestation,1995,0,200,0,1
Philippines (the),Landslide,61948,2451,317557,33281,31
Philippines (the),Mass movement (dry),5965,361,0,0,3
Philippines (the),Storm,730353,47792,200186371,24708758,366
Philippines (the),Volcanic activity,57823,1662,2650959,301525,29
Philippines (the),Wildfire,1998,2,300,0,1
Poland,Drought,2018,0,0,0,1
Poland,Earthquake,1982,0,1050,0,1
Poland,Extreme temperature,38152,2085,0,0,19
Poland,Flood,32023,115,368967,7933000,16
Poland,Storm,46215,72,13156,494050,23
Poland,Wildfire,3975,35,0,0,2
Portugal,Drought,8006,0,0,1443136,4
Portugal,Earthquake,1969,2,80,0,1
Portugal,Extreme temperature,12050,3199,0,0,6
Portugal,Flood,27926,597,53534,1493100,14
Portugal,Storm,22060,53,4379,410500,11
Portugal,Wildfire,30027,210,155538,4364000,15
Puerto Rico,Drought,1994,0,0,2000,1
Puerto Rico,Earthquake,4040,4,5228,950000,2
Puerto Rico,Flood,15987,583,12885,346000,8
Puerto Rico,Landslide,3966,126,0,0,2
Puerto Rico,Storm,41999,120,917686,71359800,21
Qatar,Flood,2018,0,1500,10000,1
Romania,Drought,3983,0,0,500000,2
Romania,Earthquake,7949,1650,392850,2000000,4
Romania,Epidemic,5997,0,5271,0,3
Romania,Extreme temperature,38094,531,10259,0,19
Romania,Flood,104238,719,1640474,3682618,52
Romania,Landslide,1999,0,330,0,1
Romania,Storm,20026,53,8593,7300,10
Russian Federation (the),Drought,10016,0,1000000,2540000,5
Russian Federation (the),Earthquake,20015,2019,60190,551520,10
Russian Federation (the),Epidemic,19992,33,158246,0,10
Russian Federation (the),Extreme temperature,42034,57914,759198,1400100,21
Russian Federation (the),Flood,140411,775,2405594,4392570,70
Russian Federation (the),Impact,2013,0,301491,33000,1
Russian Federation (the),Insect infestation,2001,0,0,0,1
Russian Federation (the),Landslide,19997,480,5561,2600,10
Russian Federation (the),Storm,44058,234,21789,301050,22
Russian Federation (the),Wildfire,48106,185,118496,2426156,24
Rwanda,Drought,11947,237,4156545,0,6
Rwanda,Earthquake,4010,81,2286,0,2
Rwanda,Epidemic,23950,322,7399,0,12
Rwanda,Flood,52302,470,2048363,44009,26
Rwanda,Landslide,10060,113,37979,28000,5
Rwanda,Storm,4034,3,6553,0,2
Rwanda,Volcanic activity,2021,0,13365,0,1
Réunion,Epidemic,2005,0,157000,0,1
Réunion,Landslide,1980,10,0,0,1
Réunion,Storm,21996,64,21529,254000,11
Réunion,Volcanic activity,1977,0,1000,0,1
Saint Barthélemy,Storm,2017,4,0,0,1
"Saint Helena, Ascension and Tristan da Cunha",Storm,2001,0,300,0,1
Saint Kitts and Nevis,Flood,1987,0,0,500,1
Saint Kitts and Nevis,Storm,17935,6,14780,704400,9
Saint Lucia,Drought,2010,0,0,0,1
Saint Lucia,Earthquake,2007,0,0,0,1
Saint Lucia,Epidemic,2020,3,1318,0,1
Saint Lucia,Flood,4023,6,21984,0,2
Saint Lucia,Landslide,1996,0,175,0,1
Saint Lucia,Storm,29865,39,289950,173245,15
Saint Martin (French Part),Storm,2017,12,110,4100000,1
Saint Vincent and the Grenadines,Drought,2010,0,0,0,1
Saint Vincent and the Grenadines,Epidemic,2020,8,1760,0,1
Saint Vincent and the Grenadines,Flood,13982,15,44049,119500,7
Saint Vincent and the Grenadines,Storm,21946,129,28571,67100,11
Saint Vincent and the Grenadines,Volcanic activity,5971,2,35300,325000,3
Samoa,Drought,2015,0,0,0,1
Samoa,Earthquake,2009,148,5584,124040,1
Samoa,Epidemic,2019,83,5617,0,1
Samoa,Flood,2001,0,0,1500,1
Samoa,Storm,21890,303,391707,658938,11
Samoa,Wildfire,1983,0,1000,31650,1
Sao Tome and Principe,Drought,1983,0,93000,0,1
Sao Tome and Principe,Epidemic,5980,206,2412,0,3
Sao Tome and Principe,Flood,2021,8,219668,0,1
Saudi Arabia,Epidemic,6001,168,571,0,3
Saudi Arabia,Flood,48205,476,34067,1652000,24
Saudi Arabia,Storm,3998,3,122,50000,2
Senegal,Drought,17915,0,9358702,374800,9
Senegal,Epidemic,23939,1268,36178,0,12
Senegal,Flood,48052,102,1256835,72435,24
Senegal,Insect infestation,9953,0,0,0,5
Senegal,Storm,6002,189,96853,0,3
Serbia,Earthquake,2010,2,27030,132260,1
Serbia,Extreme temperature,18103,36,91734,0,9
Serbia,Flood,34238,58,105738,2176262,17
Serbia Montenegro,Earthquake,2002,1,100,0,1
Serbia Montenegro,Epidemic,4000,0,869,0,2
Serbia Montenegro,Extreme temperature,4005,6,70,0,2
Serbia Montenegro,Flood,18009,14,125398,0,9
Serbia Montenegro,Storm,2005,0,8750,0,1
Serbia Montenegro,Wildfire,2000,0,12,0,1
Seychelles,Earthquake,2004,3,4830,30000,1
Seychelles,Epidemic,4021,0,5714,0,2
Seychelles,Flood,4011,5,5672,1700,2
Seychelles,Storm,4015,0,9800,9300,2
Sierra Leone,Epidemic,32005,5359,50580,0,16
Sierra Leone,Flood,22117,191,256688,0,11
Sierra Leone,Landslide,4027,1118,11921,30000,2
Sierra Leone,Storm,5958,74,10003,3600,3
Sierra Leone,Wildfire,2013,0,2257,0,1
Singapore,Epidemic,8016,36,15289,0,4
Sint Maarten (Dutch part),Storm,2017,4,5040,2500000,1
Slovakia,Extreme temperature,10037,128,89,150000,5
Slovakia,Flood,28092,67,49245,252300,14
Slovakia,Storm,6040,3,10324,383300,3
Slovakia,Wildfire,2000,6,0,0,1
Slovenia,Earthquake,4002,1,1305,10000,2
Slovenia,Extreme temperature,4017,290,50000,80000,2
Slovenia,Flood,8052,3,16050,270000,4
Slovenia,Storm,6034,7,1050,392000,3
Solomon Islands,Drought,6010,0,380,0,3
Solomon Islands,Earthquake,13986,297,18110,2000,7
Solomon Islands,Epidemic,4029,8,7912,0,2
Solomon Islands,Flood,10058,70,90080,26000,5
Solomon Islands,Storm,37871,380,473971,22000,19
Solomon Islands,Volcanic activity,1971,0,6000,0,1
Somalia,Drought,33950,39673,29019124,993000,17
Somalia,Earthquake,2004,298,105083,100000,1
Somalia,Epidemic,57985,6828,126427,0,29
Somalia,Flood,94208,2950,6288114,80020,47
Somalia,Insect infestation,2019,0,0,0,1
Somalia,Storm,14094,260,524380,2000,7
South Africa,Drought,23960,0,32925000,2585000,12
South Africa,Earthquake,9975,37,3112,44000,5
South Africa,Epidemic,14020,336,112385,0,7
South Africa,Extreme temperature,6019,63,20,0,3
South Africa,Flood,98194,1926,710093,5275029,49
South Africa,Landslide,1996,34,0,0,1
South Africa,Storm,64087,319,663718,1367041,32
South Africa,Wildfire,20024,137,12880,860000,10
South Sudan,Drought,6046,0,7918000,0,3
South Sudan,Epidemic,14107,286,13070,0,7
South Sudan,Flood,28189,173,3954591,0,14
South Sudan,Wildfire,2019,50,12,0,1
Soviet Union,Earthquake,37704,25595,2307297,16849800,19
Soviet Union,Flood,33765,148,114794,3395900,17
Soviet Union,Landslide,11890,325,2500,423000,6
Soviet Union,Mass movement (dry),5967,102,8506,0,3
Soviet Union,Storm,7939,441,10000,24000,4
Soviet Union,Volcanic activity,1956,0,0,0,1
Soviet Union,Wildfire,1987,0,0,0,1
Spain,Drought,7950,0,6000000,10660000,4
Spain,Earthquake,5966,21,15390,244004,3
Spain,Epidemic,6000,2,2135,0,3
Spain,Extreme temperature,20001,15627,70,1804300,10
Spain,Flood,75928,1343,754448,11461885,38
Spain,Landslide,1996,84,129,20000,1
Spain,Storm,54015,186,62732,5697000,27
Spain,Wildfire,36044,74,23727,2754108,18
Sri Lanka,Drought,23936,0,10978091,45000,12
Sri Lanka,Earthquake,2004,35399,1019306,1316500,1
Sri Lanka,Epidemic,21987,1043,459297,0,11
Sri Lanka,Flood,158204,2056,17448172,2573564,79
Sri Lanka,Landslide,11986,360,1927,0,6
Sri Lanka,Storm,26008,1221,2363774,540300,13
Sudan (the),Drought,17952,150000,27210000,0,9
Sudan (the),Earthquake,3983,3,8015,0,2
Sudan (the),Epidemic,84017,10926,237528,0,42
Sudan (the),Extreme temperature,2015,16,0,0,1
Sudan (the),Flood,84185,1536,9040969,808200,42
Sudan (the),Insect infestation,11972,0,0,0,6
Sudan (the),Storm,6034,53,16030,0,3
Sudan (the),Wildfire,1998,47,0,0,1
Suriname,Flood,10026,5,55248,50,5
Sweden,Epidemic,4004,0,350,0,2
Sweden,Extreme temperature,2005,0,0,0,1
Sweden,Flood,5983,11,13500,245800,3
Sweden,Landslide,1977,13,50,11000,1
Sweden,Storm,15995,19,0,2970000,8
Sweden,Wildfire,2018,0,0,102000,1
Switzerland,Epidemic,2002,0,1,0,1
Switzerland,Extreme temperature,12043,1050,0,280000,6
Switzerland,Flood,17982,10,5601,2848500,9
Switzerland,Landslide,21841,312,3851,1215000,11
Switzerland,Mass movement (dry),2017,8,200,0,1
Switzerland,Storm,67955,28,270,3856260,34
Syrian Arab Republic,Drought,6028,0,7129000,0,3
Syrian Arab Republic,Epidemic,5976,96,5116,0,3
Syrian Arab Republic,Flood,9987,9,622003,44000,5
Syrian Arab Republic,Landslide,2002,80,23,0,1
Syrian Arab Republic,Storm,10057,47,366552,0,5
Syrian Arab Republic,Wildfire,2020,3,140079,0,1
Taiwan (Province of China),Earthquake,29850,2713,187340,15927900,15
Taiwan (Province of China),Epidemic,4000,91,250309,0,2
Taiwan (Province of China),Extreme temperature,2016,85,0,0,1
Taiwan (Province of China),Flood,17973,119,68389,301430,9
Taiwan (Province of China),Landslide,1986,14,134,0,1
Taiwan (Province of China),Storm,167759,3817,3464051,6139682,84
Tajikistan,Drought,4008,0,3800000,57000,2
Tajikistan,Earthquake,24106,26,48762,28500,12
Tajikistan,Epidemic,12022,192,24046,0,6
Tajikistan,Extreme temperature,6033,1,2002500,840000,3
Tajikistan,Flood,66228,1631,840688,673750,33
Tajikistan,Insect infestation,1995,0,0,0,1
Tajikistan,Landslide,28064,390,97384,214700,14
Tajikistan,Mass movement (dry),1992,12,0,0,1
Tajikistan,Storm,4000,0,2330,434,2
"Tanzania, United Republic of",Drought,21947,0,13234483,0,11
"Tanzania, United Republic of",Earthquake,13992,36,148592,458000,7
"Tanzania, United Republic of",Epidemic,67969,9489,174695,0,34
"Tanzania, United Republic of",Flood,106175,887,1277184,9790,53
"Tanzania, United Republic of",Insect infestation,6011,0,0,0,3
"Tanzania, United Republic of",Landslide,2001,13,150,0,1
"Tanzania, United Republic of",Storm,14074,51,2038895,0,7
"Tanzania, United Republic of",Wildfire,1997,0,0,0,1
Thailand,Drought,24079,0,41982602,3725500,12
Thailand,Earthquake,8024,8347,84546,1062000,4
Thailand,Epidemic,14007,241,43373,0,7
Thailand,Extreme temperature,4030,77,1000000,0,2
Thailand,Flood,186396,4157,62362205,47484808,93
Thailand,Landslide,6000,47,43110,0,3
Thailand,Storm,86051,1740,5314323,921600,43
Thailand,Wildfire,2005,0,0,0,1
Timor-Leste,Drought,4023,0,120000,0,2
Timor-Leste,Earthquake,2015,0,2003,4000,1
Timor-Leste,Epidemic,6041,44,1886,0,3
Timor-Leste,Flood,12041,8,13636,20000,6
Timor-Leste,Storm,4027,41,152400,0,2
Togo,Drought,5940,0,550000,500,3
Togo,Epidemic,24031,1116,12170,0,12
Togo,Flood,26068,83,664660,0,13
Togo,Storm,1966,0,15,200,1
Tokelau,Storm,7948,0,1858,2900,4
Tonga,Drought,2015,0,0,0,1
Tonga,Earthquake,3986,10,6012,10700,2
Tonga,Epidemic,4038,0,501,0,2
Tonga,Storm,35974,14,307999,223200,18
Tonga,Volcanic activity,2022,4,84176,117000,1
Trinidad and Tobago,Drought,2010,0,0,0,1
Trinidad and Tobago,Earthquake,1997,0,17,25000,1
Trinidad and Tobago,Flood,6007,5,150210,3770,3
Trinidad and Tobago,Landslide,2004,2,1200,0,1
Trinidad and Tobago,Storm,9936,27,51560,36000,5
Trinidad and Tobago,Volcanic activity,1997,0,200,0,1
Tunisia,Drought,3965,0,31400,0,2
Tunisia,Earthquake,1957,13,0,0,1
Tunisia,Flood,39870,985,629267,476800,20
Tunisia,Insect infestation,3976,0,0,0,2
Tunisia,Wildfire,4038,0,3000,0,2
Turkey,Earthquake,145153,34033,7035242,25206970,73
Turkey,Epidemic,15849,613,204855,0,8
Turkey,Extreme temperature,13998,100,8450,1000,7
Turkey,Flood,100066,1147,1808527,3036500,50
Turkey,Landslide,27993,504,13671,26000,14
Turkey,Mass movement (dry),1992,261,1069,0,1
Turkey,Storm,21977,100,14209,602200,11
Turkey,Wildfire,12010,24,562238,232000,6
Turkmenistan,Earthquake,2000,11,0,0,1
Turkmenistan,Flood,1993,0,420,99870,1
Turks and Caicos Islands (the),Storm,14020,4,2470,1000005,7
Tuvalu,Drought,4032,0,10204,0,2
Tuvalu,Storm,13961,6,11663,0,7
Uganda,Drought,19977,2659,5493000,1800,10
Uganda,Earthquake,11944,115,58100,71500,6
Uganda,Epidemic,78117,1698,345720,0,39
Uganda,Flood,70420,477,1422882,6871,35
Uganda,Insect infestation,2019,0,0,0,1
Uganda,Landslide,20133,610,152742,0,10
Uganda,Storm,10033,31,18852,0,5
Ukraine,Drought,2012,0,0,1690000,1
Ukraine,Epidemic,5986,275,6771,0,3
Ukraine,Extreme temperature,16079,1102,147626,85000,8
Ukraine,Flood,32060,90,2695754,1472875,16
Ukraine,Storm,18042,22,58962,425600,9
Ukraine,Wildfire,4040,16,1968,162000,2
United Arab Emirates (the),Flood,2017,0,188,0,1
United Kingdom of Great Britain and Northern Ireland (the),Drought,2022,0,0,0,1
United Kingdom of Great Britain and Northern Ireland (the),Earthquake,3997,0,4501,60000,2
United Kingdom of Great Britain and Northern Ireland (the),Epidemic,7972,71,194,0,4
United Kingdom of Great Britain and Northern Ireland (the),Extreme temperature,24109,3640,47,0,12
United Kingdom of Great Britain and Northern Ireland (the),Flood,72110,94,436343,22471230,36
United Kingdom of Great Britain and Northern Ireland (the),Fog,1952,4000,0,0,1
United Kingdom of Great Britain and Northern Ireland (the),Landslide,1966,140,0,0,1
United Kingdom of Great Britain and Northern Ireland (the),Storm,91971,366,327000,14855950,46
United States of America (the),Drought,36140,45,0,63835000,18
United States of America (the),Earthquake,73488,452,78556,41089920,37
United States of America (the),Epidemic,9989,317,406703,0,5
United States of America (the),Extreme temperature,71629,4237,31,16285000,36
United States of America (the),Flood,394074,2151,12437723,96537030,197
United States of America (the),Landslide,10001,479,1656,920000,5
United States of America (the),Storm,1328646,16778,101555077,1049487230,665
United States of America (the),Volcanic activity,3998,90,5000,1360000,2
United States of America (the),Wildfire,188623,372,1151493,80681100,94
Uruguay,Drought,4017,0,11135,750000,2
Uruguay,Extreme temperature,8021,11,2400,0,4
Uruguay,Flood,44140,22,274796,92000,22
Uruguay,Storm,14016,11,5472,25000,7
Uzbekistan,Drought,2000,0,600000,50000,1
